nome,idade,anos_pm,fase,sinalizador_ingressante,pedra,inde,iaa,ieg,ips,ida,ipp,ipv,ian,defasagem,sexo,corraca,bolsista_encoded,ponto_virada_encoded,pedra_encoded,fase_ideal,rec_equipe_1_resultado,rec_equipe_2_resultado,rec_equipe_3_resultado,rec_equipe_4_resultado,rec_equipe_1_resultado_encoded,rec_equipe_2_resultado_encoded,rec_equipe_3_resultado_encoded,rec_equipe_4_resultado_encoded,rec_sintese
ALUNO-100,13.0,3.0,1,Veterano,Quartzo,3.117,8.5,0.0,3.8,0.0,6.3,3.8,5.0,-2.0,F,R,0,0,1,3.0,Neutro,,Neutro,,0.0,,0.0,,0.0
ALUNO-102,10.0,1.0,1,Veterano,Ágata,6.704,6.3,7.5,7.5,4.8,7.9,7.8,5.0,-1.0,M,R,0,0,2,2.0,Neutro,Neutro,Neutro,,0.0,0.0,0.0,,0.0
ALUNO-103,9.0,1.0,1,Veterano,Ametista,8.076,9.5,8.8,6.3,6.2,7.9,8.6,10.0,0.0,F,B,0,0,3,1.0,Positivo,Neutro,Neutro,,1.0,0.0,0.0,,0.0
ALUNO-104,8.0,0.0,0,Ingressante,Ametista,8.010,9.0,10.0,7.5,6.4,7.2,6.8,10.0,0.0,M,P,0,0,3,0.0,Neutro,Neutro,,,0.0,0.0,,,0.0
ALUNO-105,14.0,1.0,4,Veterano,Quartzo,4.956,10.0,1.1,7.5,2.8,6.7,3.7,10.0,0.0,F,B,0,0,1,4.0,Neutro,Neutro,Positivo,,0.0,0.0,1.0,,0.0
ALUNO-106,11.0,1.0,1,Veterano,Ametista,8.242,10.0,7.9,7.5,7.9,8.3,10.0,5.0,-1.0,F,R,0,1,3,2.0,Positivo,Neutro,Positivo,,1.0,0.0,1.0,,1.0
ALUNO-109,17.0,0.0,6,Ingressante,Ametista,7.360,7.5,6.7,7.5,7.8,8.4,8.2,5.0,-1.0,F,B,0,0,3,7.0,Positivo,Positivo,Positivo,Positivo,1.0,1.0,1.0,1.0,1.0
ALUNO-111,15.0,1.0,4,Veterano,Ametista,7.222,8.3,8.1,7.5,6.0,8.4,7.4,5.0,-1.0,F,B,0,0,3,5.0,Positivo,Positivo,Positivo,Positivo,1.0,1.0,1.0,1.0,1.0
ALUNO-112,15.0,3.0,4,Ingressante,Ágata,6.098,9.2,3.1,6.9,6.2,7.7,6.9,5.0,-1.0,F,B,0,0,2,5.0,Positivo,Neutro,Positivo,Positivo,1.0,0.0,1.0,1.0,1.0
ALUNO-113,12.0,2.0,2,Veterano,Ágata,6.664,9.5,7.1,7.5,4.6,8.1,6.6,5.0,-1.0,F,P,0,0,2,3.0,Neutro,Neutro,Neutro,,0.0,0.0,0.0,,0.0
ALUNO-117,11.0,1.0,2,Veterano,Ametista,7.774,8.5,7.1,7.5,7.1,8.3,7.6,10.0,0.0,F,P,0,0,3,2.0,Positivo,Neutro,Neutro,,1.0,0.0,0.0,,0.0
ALUNO-118,9.0,2.0,1,Veterano,Topázio,8.299,8.5,9.6,7.5,6.9,7.5,8.2,10.0,0.0,F,R,0,0,4,1.0,Positivo,Neutro,Neutro,,1.0,0.0,0.0,,0.0
ALUNO-120,10.0,2.0,1,Veterano,Ametista,7.096,8.5,8.3,7.5,6.1,7.5,6.8,5.0,-1.0,F,B,0,0,3,2.0,Neutro,Neutro,Neutro,,0.0,0.0,0.0,,0.0
ALUNO-124,8.0,0.0,0,Ingressante,Topázio,8.275,9.0,8.3,7.5,6.1,8.1,9.7,10.0,0.0,M,R,0,1,4,0.0,Positivo,Positivo,,,1.0,1.0,,,1.0
ALUNO-125,11.0,1.0,2,Veterano,Ágata,6.461,6.3,4.6,7.5,4.6,7.9,7.2,10.0,0.0,M,R,0,0,2,2.0,Neutro,Neutro,Positivo,,0.0,0.0,1.0,,0.0
ALUNO-126,9.0,0.0,0,Ingressante,Ágata,6.069,9.0,4.2,7.5,4.5,7.2,7.3,5.0,-1.0,F,P,0,0,2,1.0,Neutro,Neutro,,,0.0,0.0,,,0.0
ALUNO-127,11.0,0.0,1,Ingressante,Ametista,6.907,10.0,7.1,7.5,5.6,7.5,6.9,5.0,-1.0,F,B,0,0,3,2.0,Neutro,Neutro,Neutro,,0.0,0.0,0.0,,0.0
ALUNO-128,10.0,2.0,0,Veterano,Quartzo,5.229,7.9,6.7,4.4,4.0,2.5,5.6,5.0,-2.0,F,B,0,0,1,2.0,Neutro,Neutro,,,0.0,0.0,,,0.0
ALUNO-129,11.0,0.0,2,Ingressante,Ágata,5.819,7.4,4.2,7.5,4.6,7.2,4.3,10.0,0.0,F,P,0,0,2,2.0,Neutro,,Neutro,,0.0,,0.0,,0.0
ALUNO-133,11.0,2.0,1,Veterano,Ametista,7.990,9.5,9.6,7.5,7.1,7.7,8.4,5.0,-1.0,M,R,0,0,3,2.0,Positivo,Neutro,Neutro,,1.0,0.0,0.0,,0.0
ALUNO-135,10.0,2.0,1,Veterano,Ágata,5.788,9.5,4.2,6.3,3.6,6.9,7.3,5.0,-1.0,F,B,0,0,2,2.0,Positivo,Neutro,Neutro,,1.0,0.0,0.0,,0.0
ALUNO-137,9.0,0.0,0,Ingressante,Ágata,6.012,8.0,5.8,7.5,5.3,5.0,6.2,5.0,-1.0,F,B,0,0,2,1.0,Neutro,Neutro,,,0.0,0.0,,,0.0
ALUNO-143,13.0,0.0,3,Ingressante,Ágata,6.278,7.9,4.4,6.3,4.3,7.5,6.8,10.0,0.0,M,B,0,0,2,3.0,Positivo,Neutro,Neutro,,1.0,0.0,0.0,,0.0
ALUNO-149,17.0,2.0,7,Veterano,Topázio,8.360,8.8,8.1,6.9,7.4,8.3,9.4,10.0,0.0,F,B,1,1,4,7.0,Positivo,Positivo,Positivo,Positivo,1.0,1.0,1.0,1.0,1.0
ALUNO-151,12.0,2.0,2,Veterano,Topázio,9.004,9.5,9.6,8.1,9.1,10.0,10.0,5.0,-1.0,M,B,1,1,4,3.0,Positivo,Positivo,Positivo,,1.0,1.0,1.0,,1.0
ALUNO-152,12.0,2.0,3,Veterano,Topázio,8.672,8.8,8.3,7.5,8.0,8.3,9.8,10.0,0.0,F,B,1,1,4,3.0,Positivo,Positivo,Positivo,,1.0,1.0,1.0,,1.0
ALUNO-153,14.0,4.0,4,Veterano,Topázio,8.355,10.0,7.5,7.5,7.5,8.0,9.0,10.0,0.0,M,P,1,1,4,4.0,Positivo,Positivo,Positivo,Positivo,1.0,1.0,1.0,1.0,1.0
ALUNO-154,11.0,2.0,1,Veterano,Quartzo,5.163,9.5,2.9,7.5,1.5,8.1,6.3,5.0,-1.0,M,B,0,0,1,2.0,Neutro,Neutro,Neutro,,0.0,0.0,0.0,,0.0
ALUNO-155,17.0,0.0,6,Ingressante,Quartzo,5.082,7.1,5.3,0.0,3.4,8.1,6.6,5.0,-1.0,M,B,0,0,1,7.0,Positivo,Positivo,,,1.0,1.0,,,1.0
