nome,ano,anos_pm,bolsista_encoded,cg,diff_fase,iaa,ian,ida,idade,ieg,inde,ipp,ips,ipv,na_fase,ponto_virada_encoded,sexo_encoded
ALUNO-56,2022,1.0,0,861.0,-1.0,0.0,5.0,0.4444444444444445,18.0,3.597794117647059,3.036573379084968,3.28125,5.0,4.500003333333333,0,0,0.0
ALUNO-58,2022,0.0,0,386.0,-1.0,7.91667,5.0,6.888888888888889,14.0,7.991071428571429,7.305158063492064,8.125,7.5,7.374995,0,0,1.0
ALUNO-60,2020,4.0,1,753.0,-2.0,7.5,5.0,6.666666666666667,17.0,9.7,7.679582333333333,8.4375,6.875,8.124995,0,0,0.0
ALUNO-60,2021,5.0,1,753.0,-2.0,7.9,5.0,6.1,18.0,7.5,6.956,7.2,6.9,7.7,0,0,0.0
ALUNO-60,2022,6.0,0,753.0,-1.0,8.33334,5.0,4.044444444444444,19.0,4.129901960784314,5.783132947712418,7.96875,5.625,7.277773333333332,0,0,0.0
ALUNO-61,2020,0.0,0,658.0,-1.0,9.000020000000001,5.0,0.0,10.0,6.5,5.604168666666667,6.875,7.5,7.333333333333333,0,0,1.0
ALUNO-61,2021,1.0,0,658.0,-1.0,0.0,5.0,0.0,11.0,1.3,3.017,6.9,5.6,5.1,0,0,1.0
ALUNO-61,2022,2.0,0,658.0,-1.0,10.00002,5.0,2.5,12.0,7.787878787878788,6.410355757575758,6.25,7.5,7.38889,0,0,1.0
ALUNO-63,2022,0.0,0,594.0,-1.0,9.50002,5.0,5.083333333333334,9.0,8.544103313840155,6.683821329434698,5.625,5.625,6.91666,0,0,1.0
ALUNO-64,2022,0.0,0,839.0,-2.0,8.75001,5.0,2.833333333333333,15.0,3.611111111111112,4.664931388888889,4.84375,7.5,3.8333325,0,0,0.0
ALUNO-65,2021,0.0,0,146.0,-1.0,10.0,5.0,6.9,9.0,10.0,8.438,8.1,7.5,10.0,0,1,0.0
ALUNO-65,2022,1.0,1,146.0,-1.0,10.00002,5.0,8.166666666666666,11.0,9.555555555555555,7.987503111111112,6.25,5.625,8.777783333333334,0,1,0.0
ALUNO-66,2021,0.0,0,442.0,-1.0,8.0,5.0,5.9,13.0,6.3,6.875,8.5,7.5,7.7,0,0,1.0
ALUNO-66,2022,1.0,0,442.0,0.0,6.66667,10.0,7.777777777777779,13.0,5.784722222222221,7.171874500000001,7.34375,7.5,6.5416625,1,0,1.0
ALUNO-67,2021,0.0,0,564.0,-1.0,7.4,5.0,1.1,11.0,3.3,4.939,8.3,7.5,6.1,0,0,1.0
ALUNO-67,2022,1.0,0,564.0,-1.0,9.000020000000001,5.0,5.583333333333333,11.0,7.88220551378446,6.770192769423559,5.9375,5.0,7.916665,0,0,1.0
ALUNO-69,2022,0.0,0,272.0,-1.0,10.00002,5.0,7.883333333333333,9.0,7.545642763034067,7.598297219273481,5.625,7.5,8.5,0,1,0.0
ALUNO-70,2022,0.0,0,84.0,0.0,10.00002,10.0,6.5,11.0,8.833333333333332,8.205557333333335,6.666666666666666,7.5,8.61111,1,1,1.0
ALUNO-72,2022,0.0,0,227.0,-1.0,7.50002,5.0,8.833333333333332,9.0,8.602540834845735,7.728843833635814,5.625,8.125,8.083335,0,0,1.0
ALUNO-73,2022,0.0,0,586.0,-2.0,8.33334,5.0,6.5,16.0,6.992521367521367,6.712044773504273,6.71875,7.5,6.2916575,0,0,1.0
ALUNO-74,2022,0.0,0,593.0,-1.0,7.91667,5.0,6.111111111111112,15.0,6.25,6.684722722222222,7.5,6.875,7.4166675,0,0,1.0
ALUNO-75,2020,1.0,1,1.0,1.0,10.00002,10.0,9.0,11.0,10.0,9.687504,9.375,10.0,9.75001,0,1,1.0
ALUNO-75,2021,2.0,1,1.0,1.0,10.0,10.0,8.5,12.0,9.2,9.108,8.8,7.5,9.7,0,1,1.0
ALUNO-75,2022,3.0,1,1.0,2.0,10.00002,10.0,8.5,13.0,9.660714285714286,9.441521857142858,9.21875,9.375,9.75001,0,1,1.0
ALUNO-76,2020,0.0,0,61.0,0.0,8.91668,10.0,10.0,7.0,10.0,8.958334,7.5,10.0,6.58333,1,0,1.0
ALUNO-76,2021,1.0,0,61.0,1.0,10.0,10.0,7.6,8.0,10.0,8.869,7.5,7.5,9.2,0,1,1.0
ALUNO-76,2022,2.0,0,61.0,0.0,10.00002,10.0,7.166666666666666,9.0,9.419753086419751,8.306175283950617,5.833333333333334,7.5,8.27778,1,0,1.0
ALUNO-77,2021,0.0,0,169.0,-1.0,9.5,5.0,6.4,9.0,10.0,7.854,7.5,7.5,8.1,0,0,1.0
ALUNO-77,2022,1.0,0,169.0,-2.0,10.00002,5.0,8.333333333333332,11.0,8.237472766884531,7.901663220043574,5.625,8.75,8.25,0,0,1.0
ALUNO-78,2020,3.0,0,271.0,-1.0,9.50002,5.0,5.5,10.0,9.0,7.352085,7.1875,7.5,7.666665,0,0,1.0
ALUNO-78,2021,4.0,0,271.0,-1.0,8.9,5.0,2.6,11.0,9.2,6.339,7.3,7.5,5.6,0,0,1.0
ALUNO-78,2022,5.0,0,271.0,-2.0,6.91668,5.0,7.666666666666666,12.0,9.480259870064968,7.604387307346327,6.666666666666666,7.5,7.833336666666667,0,0,1.0
ALUNO-79,2022,0.0,0,452.0,0.0,9.58335,10.0,3.666666666666667,13.0,7.463924963924963,7.110494326118326,7.34375,7.5,7.20833,1,0,0.0
ALUNO-80,2020,1.0,0,633.0,0.0,6.91668,10.0,0.0,10.0,9.2,6.499723333333334,7.291666666666667,7.5,7.444443333333333,1,0,0.0
ALUNO-80,2022,0.0,0,633.0,-1.0,6.83334,5.0,4.25,12.0,9.296296296296296,6.580093259259259,6.25,5.625,7.5,0,0,0.0
ALUNO-81,2020,1.0,0,327.0,-1.0,5.41667,5.0,6.0,15.0,8.8,7.386391000000001,8.125,7.5,9.11112,0,1,1.0
ALUNO-81,2021,2.0,1,327.0,-1.0,6.3,5.0,6.5,16.0,5.8,6.188,8.1,2.5,7.7,0,0,1.0
ALUNO-81,2022,3.0,1,327.0,-1.0,8.33334,5.0,6.655555555555555,17.0,7.402950310559007,7.474202506556246,7.5,8.125,8.833336666666666,0,1,1.0
ALUNO-83,2020,4.0,1,429.0,0.0,9.16668,10.0,5.333333333333333,14.0,9.4,8.155003333333333,8.958333333333332,5.625,9.166676666666666,1,1,1.0
ALUNO-83,2021,5.0,1,429.0,0.0,6.7,10.0,3.0,15.0,6.4,5.987,7.3,3.8,6.7,1,0,1.0
ALUNO-83,2022,6.0,1,429.0,-1.0,7.91667,5.0,6.8,16.0,7.819047619047619,7.202977523809524,6.875,7.5,7.750005,0,0,1.0
ALUNO-84,2020,0.0,0,309.0,0.0,9.000020000000001,10.0,8.5,8.0,10.0,8.750001000000001,7.5,10.0,6.999995,1,0,1.0
ALUNO-84,2021,1.0,0,309.0,0.0,3.5,10.0,6.8,9.0,10.0,7.867,7.5,7.5,8.3,1,0,1.0
ALUNO-84,2022,1.0,0,309.0,-1.0,9.000020000000001,5.0,6.25,10.0,8.838383838383837,7.502401434343434,6.458333333333334,7.5,8.444446666666666,0,1,1.0
ALUNO-85,2020,1.0,0,218.0,-1.0,9.50002,5.0,10.0,9.0,9.9,7.263334,2.5,2.5,6.66666,0,0,0.0
ALUNO-85,2021,2.0,0,218.0,-2.0,9.5,5.0,6.9,10.0,6.7,6.652,4.7,6.3,7.0,0,0,0.0
ALUNO-85,2022,3.0,0,218.0,-1.0,9.50002,5.0,7.583333333333333,11.0,9.743589743589745,7.744553615384616,5.625,5.0,8.833335,0,1,0.0
ALUNO-87,2020,4.0,1,608.0,0.0,8.33334,10.0,6.666666666666667,14.0,9.2,8.188612666666666,8.749999999999998,5.625,8.722226666666666,1,1,1.0
ALUNO-87,2021,5.0,1,608.0,0.0,7.9,10.0,7.8,15.0,7.8,8.004,8.1,7.5,7.7,1,0,1.0
ALUNO-87,2022,6.0,1,608.0,-1.0,9.16668,5.0,6.566666666666667,16.0,5.652169521654815,6.644810737664296,7.96875,5.625,7.1250025,0,0,1.0
