nome,idade,anos_pm,inde,pedra,iaa,ieg,ips,ida,ipp,ipv,ian,sexo,corraca,fase,bolsista_encoded,ponto_virada_encoded,pedra_encoded,destaque_ieg_resultado,destaque_ida_resultado,destaque_ipv_resultado,destaque_ieg_resultado_encoded,destaque_ida_resultado_encoded,destaque_ipv_resultado_encoded
ALUNO-490,14.0,4,8.003127333333333,Ametista,9.58335,8.5,6.875,8.666666666666666,7.65625,8.29167,5,M,R,3,1,0,3,Positivo,Positivo,Negativo,1,1,-1
ALUNO-491,10.0,1,6.662084,Ágata,8.500020000000001,2.3,7.5,10,7.1875,6.91666,5,F,B,1,0,0,2,Negativo,Positivo,Negativo,-1,1,-1
ALUNO-492,17.0,2,7.602290666666668,Ametista,6.66666,8.1,7.5,5.833333333333333,7.65625,8.166665,10,M,R,7,0,0,3,Positivo,Negativo,Positivo,1,-1,1
ALUNO-496,11.0,2,8.688544833333335,Topázio,10.000020000000001,9.5,7.5,7.666666666666667,7.96875,8.5416725,10,F,B,3,1,0,4,Positivo,Positivo,Positivo,1,1,1
ALUNO-499,11.0,3,8.308752,Ametista,9.500020000000001,8.7,10,9,7.1875,8,5,F,R,1,1,0,3,Positivo,Positivo,Negativo,1,1,-1
ALUNO-500,16.0,1,7.771876666666667,Ametista,9.16668,8.5,7.5,4.833333333333333,7.96875,8.208335,10,M,R,6,0,0,3,Positivo,Negativo,Positivo,1,-1,1
ALUNO-502,13.0,2,8.179167666666668,Ametista,8.75001,8.5,7.5,6.666666666666667,8.541666666666666,8.333333333333334,10,M,B,4,0,0,3,Positivo,Negativo,Positivo,1,-1,1
ALUNO-503,8.0,0,7.233337000000001,Ágata,9.000020000000001,10,7.5,5.75,2.5,5.916675,10,M,R,0,0,0,2,Positivo,Negativo,Positivo,1,-1,1
ALUNO-506,7.0,0,8.783335000000001,Topázio,8.500020000000001,10,7.5,10,7.5,7.166665,10,M,B,0,0,0,4,Positivo,Positivo,Positivo,1,1,1
ALUNO-507,13.0,4,8.008612333333332,Ametista,9.58335,8.8,5,7.666666666666667,8.125,7.222219999999999,10,F,B,3,0,0,3,Positivo,Positivo,Positivo,1,1,1
ALUNO-509,17.0,2,8.215626166666667,Ametista,7.91667,9.5,7.5,6.333333333333333,7.65625,8.7083375,10,M,R,7,0,1,3,Positivo,Negativo,Positivo,1,-1,1
ALUNO-512,14.0,1,8.302779666666668,Ametista,8.75001,10,4.375,8.333333333333334,9.791666666666666,9.222226666666666,5,M,R,3,0,1,3,Positivo,Positivo,Negativo,1,1,-1
ALUNO-513,9.0,0,8.734168,Topázio,7.4166799999999995,9.4,7.5,10,8.125,7.75,10,F,R,1,0,0,4,Positivo,Positivo,Positivo,1,1,1
ALUNO-515,14.0,1,7.521039666666667,Ametista,6.66666,9.1,6.875,6.333333333333333,7.96875,6.41666,10,M,R,5,0,0,3,Positivo,Negativo,Positivo,1,-1,1
ALUNO-517,15.0,0,6.953335333333333,Ágata,9.16668,3.1,7.5,6.333333333333333,8.333333333333334,7.833336666666668,10,F,R,5,0,0,2,Negativo,Negativo,Positivo,-1,-1,1
ALUNO-518,16.0,1,8.320209166666666,Ametista,8.75001,9.2,7.5,7.333333333333333,7.96875,7.9583325,10,F,B,6,1,0,3,Positivo,Negativo,Positivo,1,-1,1
